Goroka Airport,GKA
General Rodolfo Sánchez Taboada International Airport,MXL
General Francisco J. Mujica International Airport,MLM
Minatitlán/Coatzacoalcos National Airport,MTT
Monclova International Airport,LOV
Licenciado Benito Juarez International Airport,MEX
General Mariano Escobedo International Airport,MTY
General Rafael Buelna International Airport,MZT
Nogales International Airport,NOG
Quetzalcóatl International Airport,NLD
Xoxocotlán International Airport,OAX
El Tajín National Airport,PAZ
Hermanos Serdán International Airport,PBC
Ingeniero Juan Guillermo Villasana Airport,PCA
Puerto Peñasco International Airport,PPE
Piedras Negras International Airport,PDS
Licenciado y General Ignacio Lopez Rayon Airport,UPN
Licenciado Gustavo Díaz Ordaz International Airport,PVR
Puerto Escondido International Airport,PXM
Querétaro Intercontinental Airport,QRO
General Lucio Blanco International Airport,REX
Los Cabos International Airport,SJD
San Felipe International Airport,SFH
Ponciano Arriaga International Airport,SLP
Tlaxcala Airport,TXA
Terán Air Base,\N
Francisco Sarabia International Airport,TRC
Angel Albino Corzo International Airport,TGZ
General Abelardo L. Rodríguez International Airport,TIJ
General Francisco Javier Mina International Airport,TAM
Tamuin Airport,TSL
Licenciado Adolfo Lopez Mateos International Airport,TLC
Tapachula International Airport,TAP
Cancún International Airport,CUN
Carlos Rovirosa Pérez International Airport,VSA
General Heriberto Jara International Airport,VER
General Leobardo C. Ruiz International Airport,ZCL
Ixtapa Zihuatanejo International Airport,ZIH
Zamora Airport,ZMM
Playa De Oro International Airport,ZLO
Zapopan Airport,\N
Bluefields Airport,BEF
Los Brasiles Airport,\N
Leon (Fanor Urroz) Airport,\N
Augusto C. Sandino (Managua) International Airport,MGA
Puerto Cabezas Airport,PUZ
Bocas Del Toro International Airport,BOC
Cap Manuel Niño International Airport,CHX
Enrique Malek International Airport,DAV
Panama Pacific International Airport,BLB
Marcos A. Gelabert International Airport,PAC
Ruben Cantu Airport,\N
Tocumen International Airport,PTY
Buenos Aires Airport,\N
Coto 47 Airport,OTR
Chacarita Airport,\N
El Carmen de Siquirres Airport,\N
Finca 10 / Nuevo Palmar Sur Airport,\N
Golfito Airport,GLF
Guapiles Airport,\N
Daniel Oduber Quiros International Airport,LIR
Los Chiles Airport,\N
Limon International Airport,LIO
Nosara Airport,NOB
Juan Santamaria International Airport,SJO
Pandora Airport,\N
Palmar Sur Airport,PMZ
Quepos Managua Airport,XQP
Santa Clara De Guapiles Airport,\N
San Vito De Java Airport,\N
El Salvador International Airport,SAL
Ilopango International Airport,\N
Les Cayes Airport,\N
Cap Haitien International Airport,CAP
Jacmel Airport,\N
Toussaint Louverture International Airport,PAP
Gustavo Rizo Airport,BCA
Carlos Manuel de Cespedes Airport,BYM
Maximo Gomez Airport,AVI
Jardines Del Rey Airport,CCC
Jaime Gonzalez Airport,CFG
Vilo Acuña International Airport,CYO
Ignacio Agramonte International Airport,CMW
Antonio Maceo International Airport,SCU
Florida Airport,\N
Leeward Point Field,\N
Mariana Grajales Airport,GAO
José Martí International Airport,HAV
Frank Pais International Airport,HOG
La Coloma Airport,LCL
Orestes Acosta Airport,MOA
Sierra Maestra Airport,MZO
Rafael Cabrera Airport,GER
Playa Baracoa Airport,UPB
Pinar Del Rio Airport,\N
San Antonio De Los Banos Airport,\N
Abel Santamaria Airport,SNU
Joaquín de Agüero Airport,\N
Siguanea Airport,\N
Sancti Spiritus Airport,\N
Juan Gualberto Gomez International Airport,VRA
Hermanos Ameijeiras Airport,VTU
Gerrard Smith International Airport,CYB
Owen Roberts International Airport,GCM
Clarence A. Bain Airport,\N
Andros Town Airport,ASD
Marsh Harbour International Airport,MHH
San Andros Airport,SAQ
Spring Point Airport,AXP
Sandy Point Airport,\N
Treasure Cay Airport,TCB
Chub Cay Airport,CCZ
Great Harbour Cay Airport,\N
South Bimini Airport,BIM
Exuma International Airport,GGT
George Town Airport,\N
North Eleuthera Airport,ELH
Governor's Harbour Airport,GHB
Normans Cay Airport,\N
Rock Sound Airport,RSD
Staniel Cay Airport,\N
Grand Bahama International Airport,FPO
Inagua Airport,IGA
Deadman's Cay Airport,LGI
Stella Maris Airport,SML
Mayaguana Airport,MYG
Lynden Pindling International Airport,NAS
Duncan Town Airport,\N
Rum Cay Airport,\N
San Salvador Airport,ZSA
Philip S. W. Goldson International Airport,BZE
Aitutaki Airport,AIT
Rarotonga International Airport,RAR
Nadi International Airport,NAN
Nausori International Airport,SUV
Fua'amotu International Airport,TBU
Vava'u International Airport,VAV
Bonriki International Airport,TRW
Tabiteuea North Airport,TBF
Hihifo Airport,WLS
Faleolo International Airport,APW
Pago Pago International Airport,PPG
Rurutu Airport,RUR
Tubuai Airport,TUB
Anaa Airport,AAA
Fangatau Airport,\N
Tikehau Airport,TIH
Reao Airport,REA
Fakarava Airport,FAV
Manihi Airport,XMH
Totegegie Airport,GMR
Kaukura Airport,KKR
Makemo Airport,MKP
Puka Puka Airport,PKP
Takapoto Airport,TKP
Arutua Airport,AXR
Mataiva Airport,MVT
Takaroa Airport,TKX
Nuku Hiva Airport,NHV
Bora Bora Airport,BOB
Rangiroa Airport,RGI
Huahine-Fare Airport,HUH
Moorea Airport,MOZ
Hao Airport,HOI
Maupiti Airport,MAU
Raiatea Airport,RFP
Bauerfield International Airport,VLI
Koné Airport,KNQ
Koumac Airport,KOC
Lifou Airport,LIF
Nouméa Magenta Airport,GEA
Maré Airport,MEE
Touho Airport,TOU
Ouvéa Airport,UVE
La Tontouta International Airport,NOU
Auckland International Airport,AKL
Taupo Airport,TUO
Ardmore Airport,AMZ
Christchurch International Airport,CHC
Chatham Islands-Tuuta Airport,CHT
Dunedin Airport,DUD
Gisborne Airport,GIS
Glentanner Airport,\N
Hokitika Airfield,HKK
Hamilton International Airport,HLZ
Hastings Aerodrome,\N
Kerikeri Airport,KKE
Kaitaia Airport,KAT
Alexandra Airport,ALR
Mount Cook Airport,MON
Manapouri Airport,TEU
Hood Airport,MRO
New Plymouth Airport,NPL
Nelson Airport,NSN
Invercargill Airport,IVC
RNZAF Base Ohakea,\N
Oamaru Airport,OAM
Palmerston North Airport,PMR
Paraparaumu Airport,PPQ
Queenstown International Airport,ZQN
Rotorua Regional Airport,ROT
Waiouru Airport,\N
South Pole Station Airport,\N
Tauranga Airport,TRG
Timaru Airport,TIU
Pukaki Airport,\N
Woodbourne Airport,BHE
Williams Field,\N
Wanaka Airport,WKA
Wigram Airport,\N
Whakatane Airport,WHK
Wellington International Airport,WLG
Wairoa Airport,\N
RNZAF Base Auckland-Whenuapai,\N
Whangarei Airport,WRE
Westport Airport,WSZ
Wanganui Airport,WAG
Herat Airport,HEA
Jalalabad Airport,JAA
Kabul International Airport,KBL
Kandahar Airport,KDH
Maimana Airport,MMZ
Mazar I Sharif Airport,MZR
Shindand Airport,\N
Sheberghan Airport,\N
Konduz Airport,UND
Bahrain International Airport,BAH
Sheik Isa Air Base,\N
Abha Regional Airport,AHB
Al Ahsa Airport,HOF
Al Baha Airport,ABT
Bisha Airport,BHH
Abqaiq Airport,\N
King Fahd International Airport,DMM
King Abdulaziz Air Base,DHA
Jizan Regional Airport,GIZ
Gassim Airport,ELQ
Gurayat Domestic Airport,URY
Ha'il Airport,HAS
Jubail Airport,\N
King Faisal Naval Base,\N
King Abdulaziz International Airport,JED
King Khaled Military City Airport,HBT
Prince Mohammad Bin Abdulaziz Airport,MED
Nejran Airport,EAM
Al Qaisumah/Hafr Al Batin Airport,AQI
Pump Station 3 Airport,\N
Pump Station 6 Airport,\N
Pump Station 10 Airport,\N
Rabigh Airport,\N
Rafha Domestic Airport,RAH
King Khaled International Airport,RUH
Ras Mishab Airport,\N
Arar Domestic Airport,RAE
Ras Tanura Airport,\N
Sharurah Airport,SHW
Sulayel Airport,SLF
Tabuk Airport,TUU
Ta’if Regional Airport,TIF
Thumamah Airport,\N
Ras Tanajib Airport,\N
Turaif Domestic Airport,TUI
Al Wajh Domestic Airport,EJH
Prince Abdulmohsin Bin Abdulaziz Airport,YNB
Abadan Airport,ABD
Dezful Airport,\N
Aghajari Airport,\N
Gachsaran Airport,\N
Shahid Asyaee Airport,QMJ
Omidiyeh Airport,\N
Mahshahr Airport,MRX
Ahwaz Airport,AWZ
Abumusa Island Airport,\N
Bushehr Airport,BUZ
Bastak Airport,\N
Asaloyeh Airport,\N
Kish International Airport,KIH
Bandar Lengeh Airport,BDH
Khark Island Airport,\N
Sirri Island Airport,\N
Lavan Island Airport,\N
Shahid Ashrafi Esfahani Airport,KSH
Sanandaj Airport,SDG
Hesa Airport,\N
Shahid Vatan Pour Air Base,\N
Kashan Airport,\N
Esfahan Shahid Beheshti International Airport,IFN
Badr Air Base,\N
Sardar-e-Jangal Airport,RAS
Arak Airport,\N
Ghazvin Azadi Airport,\N
Kushke Nosrat Airport,\N
Doshan Tappeh Air Base,\N
Ghale Morghi Airport,\N
Mehrabad International Airport,THR
Qazvin Airport,\N
Naja Airport,\N
Bandar Abbas International Airport,BND
Jiroft Airport,\N
Kerman Airport,KER
Havadarya Airport,\N
Dayrestan Airport,\N
Sirjan Airport,\N
Birjand Airport,XBJ
Sarakhs Airport,\N
Shahroud Airport,\N
Tabas Airport,\N
Kalaleh Airport,\N
Ramsar Airport,RZR
Fasa Airport,\N
Jahrom Airport,\N
Lamerd Airport,\N
Shiraz Shahid Dastghaib International Airport,SYZ
Khoy Airport,\N
Tabriz International Airport,TBZ
Zanjan Airport,\N
Shahid Sadooghi Airport,AZD
Zabol Airport,ACZ
Konarak Airport,ZBR
Zahedan International Airport,ZAH
Iran Shahr Airport,\N
Saravan Airport,\N
Queen Alia International Airport,AMM
Amman-Marka International Airport,ADJ
Aqaba King Hussein International Airport,AQJ
Prince Hassan Air Base,\N
Jerusalem Airport,\N
King Hussein Air College,OMF
Kuwait International Airport,KWI
Beirut Rafic Hariri International Airport,BEY
Rene Mouawad Air Base,\N
Abu Dhabi International Airport,AUH
Bateen Airport,AZI
Al Hamra Aux Airport,\N
Jebel Dhana Airport,\N
Al Dhafra Air Base,\N
Arzanah Airport,\N
Das Island Airport,\N
Zirku Airport,\N
Dubai International Airport,DXB
Fujairah International Airport,FJR
Ras Al Khaimah International Airport,RKT
Sharjah International Airport,SHJ
Khasab Air Base,KHS
Masirah Air Base,MSH
Muscat International Airport,MCT
Salalah Airport,SLL
Thumrait Air Base,TTH
Bhagatanwala Airport,\N
Faisalabad International Airport,LYP
Gwadar International Airport,GWD
Gilgit Airport,GIL
Shahbaz Air Base,\N
Jinnah International Airport,KHI
Alama Iqbal International Airport,LHE
Walton Airport,\N
Mangla Airport,\N
Muzaffarabad Airport,MFG
Mianwali Air Base,\N
Moenjodaro Airport,MJD
Masroor Air Base,\N
Multan International Airport,MUX
Shaheed Benazirabad Airport,WNS
Okara Cantonment Airstrip,\N
Panjgur Airport,PJG
Pasni Airport,PSI
Peshawar International Airport,PEW
Qasim Airport,\N
Quetta International Airport,UET
Shaikh Zaid Airport,RYK
Benazir Bhutto International Airport,ISB
Risalpur Air Base,\N
Rawalakot Airport,RAZ
Sukkur Airport,SKZ
Saidu Sharif Airport,SDT
Sui Airport,SUL
Talhar Airport,BDN
Wana Airport,\N
Zhob Airport,PZH
Basrah International Airport,BSR
Aleppo International Airport,ALP
Damascus International Airport,DAM
Deir ez-Zor Airport,DEZ
Bassel Al-Assad International Airport,LTK
Palmyra Airport,PMS
Doha International Airport,\N
Canton Island Airport,CIS
Rota International Airport,ROP
Saipan International Airport,SPN
Andersen Air Force Base,UAM
Antonio B. Won Pat International Airport,GUM
Tinian International Airport,TIQ
Marshall Islands International Airport,MAJ
Dyess Army Air Field,\N
Bucholz Army Air Field,KWA
Cassidy International Airport,CXI
Henderson Field,MDY
Chuuk International Airport,TKK
Pohnpei International Airport,PNI
Babelthuap Airport,ROR
Kosrae International Airport,KSA
Yap International Airport,YAP
Kinmen Airport,KNH
Pingtung South Airport,\N
Longtan Air Base,\N
Taitung Airport,TTT
Lyudao Airport,GNI
Kaohsiung International Airport,KHH
Chiayi Airport,CYI
Lanyu Airport,KYD
Taichung Ching Chuang Kang Airport,RMQ
Tainan Airport,TNN
Hsinchu Air Base,\N
Makung Airport,MZG
Chihhang Air Base,\N
Pingtung North Airport,PIF
Taipei Songshan Airport,TSA
Taiwan Taoyuan International Airport,TPE
Wang-an Airport,WOT
Hualien Airport,HUN
Narita International Airport,NRT
Matsumoto Airport,MMJ
Hyakuri Airport,IBR
Minami Torishima Airport,\N
Iwo Jima Airport,IWO
Nanki Shirahama Airport,SHM
Kohnan Airport,\N
Tokachi-Obihiro Airport,OBO
New Chitose Airport,CTS
Hakodate Airport,HKD
Chitose Air Base,SPK
Memanbetsu Airport,MMB
Nakashibetsu Airport,SHB
Tokachi Airport,\N
Wakkanai Airport,WKJ
Iki Airport,IKI
Yamaguchi Ube Airport,UBJ
Tsushima Airport,TSJ
Monbetsu Airport,MBE
Asahikawa Airport,AKJ
Okushiri Airport,OIR
Rishiri Airport,RIS
Ashiya Airport,\N
Yakushima Airport,KUM
Fukue Airport,FUJ
Fukuoka Airport,FUK
New Tanegashima Airport,TNE
Kagoshima Airport,KOJ
Miyazaki Airport,KMI
Nyutabaru Airport,\N
Oita Airport,OIT
Kitakyūshū Airport,KKJ
Kumamoto Airport,KMJ
Nagasaki Airport,NGS
Kanoya Airport,\N
Tsuiki Air Field,\N
Amami Airport,ASJ
Okierabu Airport,\N
Tokunoshima Airport,TKN
Fukui Airport,\N
Gifu Airport,\N
Hamamatsu Airport,\N
Komatsu Airport,KMQ
Oki Airport,OKI
Toyama Airport,TOY
Shizuhama Airport,\N
Hiroshima Airport,HIJ
Okayama Airport,OKJ
Izumo Airport,IZO
Hofu Airport,\N
Miho Yonago Airport,YGJ
Kōchi Ryōma Airport,KCZ
Matsuyama Airport,MYJ
Osaka International Airport,ITM
Tottori Airport,TTJ
Tokushima Airport,TKS
Takamatsu Airport,TAK
Yao Airport,\N
Ozuki Airport,\N
Aomori Airport,AOJ
Yamagata Airport,GAJ
Sado Airport,SDS
Hachinohe Airport,\N
Hanamaki Airport,HNA
Akita Airport,AXT
Misawa Air Base,MSJ
Sendai Airport,SDJ
Matsushima Air Base,\N
Atsugi Naval Air Facility,\N
Tateyama Airport,\N
Hachijojima Airport,HAC
Iruma Air Base,\N
Kisarazu Airport,\N
Shimofusa Airport,\N
Oshima Airport,OIM
Kastner Army Heliport,\N
Tokyo Haneda International Airport,HND
Yokota Air Base,OKO
Gwangju Airport,KWJ
Jeon Ju Airport,CHN
Yeosu Airport,RSU
Sokcho Airport,SHO
Gangneung Airport,KAG
Jeju International Airport,CJU
Jinhae Airport,\N
Gimhae International Airport,PUS
Ulsan Airport,USN
A 511 Airport,\N
Seoul Air Base,SSN
Osan Air Base,OSN
Gimpo International Airport,GMP
Suwon Airport,SWU
Pohang Airport,KPO
Daegu Airport,TAE
Yecheon Airport,YEC
Naha Airport,OKA
Ie Shima Auxiliary Air Base,\N
Kadena Air Base,DNA
Ishigaki Airport,ISG
Kumejima Airport,UEO
Minami-Daito Airport,MMD
Miyako Airport,MMY
Kitadaito Airport,KTD
Shimojishima Airport,SHI
Tarama Airport,\N
Yoron Airport,RNJ
Yonaguni Airport,OGN
Ninoy Aquino International Airport,MNL
Awang Airport,CBO
Cagayan De Oro Airport,CGY
Pagadian Airport,PAG
General Santos International Airport,GES
Zamboanga International Airport,ZAM
Loakan Airport,BAG
Daet Airport,\N
Basa Air Base,\N
Lingayen Airport,\N
San Jose Airport,SJI
Fernando Air Base,\N
Mamburao Airport,\N
Vigan Airport,\N
Dr.Juan C. Angara Airport,\N
Bagabag Airport,\N
Daniel Z. Romualdez Airport,TAC
Bacolod-Silay City International Airport,BCD
Sibulan Airport,DGT
Godofredo P. Ramos Airport,MPH
Guiuan Airport,\N
Iloilo International Airport,ILO
Kalibo International Airport,KLO
Puerto Princesa Airport,PPS
Evelio Javier Airport,\N
Comodoro Pierrestegui Airport,COC
Gualeguaychu Airport,GHU
Junin Airport,\N
General Urquiza Airport,PRA
Islas Malvinas Airport,ROS
Sauce Viejo Airport,SFN
Jorge Newbery Airpark,AEP
Ingeniero Ambrosio Taravella Airport,COR
Chamical Airport,\N
San Fernando Airport,\N
Mariano Moreno Airport,\N
La Plata Airport,LPG
Moron Airport,\N
El Palomar Airport,\N
Chos Malal Airport,\N
Dr. Arturo H. Illia Airport,\N
El Plumerillo Airport,MDZ
Comodoro D.R. Salomón Airport,LGS
Suboficial Ay Santiago Germano Airport,AFA
Catamarca Airport,CTC
Vicecomodoro Angel D. La Paz Aragonés Airport,SDE
Tinogasta Airport,\N
Capitan V A Almonacid Airport,IRJ
Chilecito Airport,\N
Teniente Benjamin Matienzo Airport,TUC
Domingo Faustino Sarmiento Airport,UAQ
Area De Material Airport,RCU
Villa Dolores Airport,VDR
La Quiaca Airport,\N
Marcos Juarez Airport,\N
Villa Reynolds Airport,\N
Brigadier Mayor D Cesar Raul Ojeda Airport,LUQ
Corrientes Airport,CNQ
Resistencia International Airport,RES
Formosa Airport,FMA
Cataratas Del Iguazú International Airport,IGR
Paso De Los Libres Airport,AOL
Monte Caseros Airport,\N
Libertador Gral D Jose De San Martin Airport,PSS
Martin Miguel De Guemes International Airport,SLA
Gobernador Horacio Guzman International Airport,JUJ
Orán Airport,ORA
Laboulaye Airport,\N
El Dorado Airport,\N
Goya Airport,\N
Oberá Airport,\N
Reconquista Airport,\N
Curuzu Cuatia Airport,\N
El Bolson Airport,EHL
General E. Mosconi Airport,CRD
Brigadier Antonio Parodi Airport,EQS
Almirante Marco Andres Zar Airport,REL
Gobernador Castello Airport,VDM
El Tehuelche Airport,PMY
Marambio Base,\N
Puerto Deseado Airport,PUD
Hermes Quijada International Airport,RGA
Piloto Civil N. Fernández Airport,RGL
Malvinas Argentinas Airport,USH
Capitan D Daniel Vazquez Airport,ULA
Perito Moreno Airport,PMQ
Santa Cruz Airport,RZA
Comandante Espora Airport,BHI
Brigadier D.H.E. Ruiz Airport,\N
Olavarria Airport,\N
General Pico Airport,\N
Tres Arroyos Airport,\N
Bolivar Airport,\N
Ástor Piazzola International Airport,MDQ
Presidente Peron Airport,NQN
Comodoro Pedro Zanni Airport,\N
Santa Rosa Airport,RSA
San Carlos De Bariloche Airport,BRC
Héroes De Malvinas Airport,TDL
Villa Gesell Airport,VLG
Cutral-Co Airport,\N
Aviador C. Campos Airport,CPC
Conceição do Araguaia Airport,CDJ
Campo Délio Jardim de Mattos Airport,\N
Amapá Airport,\N
Araraquara Airport,AQA
Santa Maria Airport,AJU
Piloto Osvaldo Marques Dias Airport,AFL
Araçatuba Airport,ARU
Val de Cans/Júlio Cezar Ribeiro International Airport,BEL
Comandante Gustavo Kraemer Airport,BGX
Pampulha - Carlos Drummond de Andrade Airport,PLU
Bacacheri Airport,BFH
Major Brigadeiro Doorgal Borges Airport,\N
Presidente Juscelino Kubistschek International Airport,BSB
Bauru Airport,BAU
Atlas Brasil Cantanhede Airport,BVB
Barra do Garças Airport,\N
Cascavel Airport,CAC
Cachimbo Airport,\N
Tancredo Neves International Airport,CNF
Campo Grande Airport,CGR
Serafin Enoss Bertaso Airport,XAP
Brig. Lysias Augusto Rodrigues Airport,CLN
Diomício Freitas Airport,CCM
Canoas Air Force Base,\N
Bartolomeu Lisandro Airport,CAW
Corumbá International Airport,CMG
Afonso Pena Airport,CWB
Caravelas Airport,CRQ
Hugo Cantergiani Regional Airport,CXJ
Marechal Rondon Airport,CGB
Cruzeiro do Sul Airport,CZS
Presidente Prudente Airport,PPB
Eduardo Gomes International Airport,MAO
Jacareacanga Airport,\N
São Pedro da Aldeia Airport,\N
Cataratas International Airport,IGU
Hercílio Luz International Airport,FLN
Fernando de Noronha Airport,FEN
Furnas Airport,\N
Pinto Martins International Airport,FOR
Rio Galeão – Tom Jobim International Airport,GIG
Guajará-Mirim Airport,\N
Santa Genoveva Airport,GYN
EMBRAER - Unidade Gavião Peixoto Airport,\N
Guarulhos - Governador André Franco Montoro International Airport,GRU
Guaratinguetá Airport,\N
Altamira Airport,ATM
Itacoatiara Airport,\N
Itaituba Airport,ITB
Bahia - Jorge Amado Airport,IOS
Usiminas Airport,IPN
Francisco Vilela do Amaral Airport,\N
Prefeito Renato Moreira Airport,IMP
Belém/Brigadeiro Protásio de Oliveira Airport,\N
Francisco de Assis Airport,JDF
Presidente Castro Pinto International Airport,JPA
Lauro Carneiro de Loyola Airport,JOI
Presidente João Suassuna Airport,CPV
Viracopos International Airport,VCP
Lages Airport,\N
Lins Airport,LIP
Governador José Richa Airport,LDB
Bom Jesus da Lapa Airport,LAZ
Lagoa Santa Airport,\N
João Correa da Rocha Airport,MAB
Monte Dourado Airport,\N
Regional de Maringá - Sílvio Nane Junior Airport,MGF
Mário Ribeiro Airport,MOC
Ponta Pelada Airport,PLL
Zumbi dos Palmares Airport,MCZ
Alberto Alcolumbre Airport,MCP
Dix-Sept Rosado Airport,MVF
Campo de Marte Airport,\N
Manicoré Airport,MNX
Ministro Victor Konder International Airport,NVT
Santo Ângelo Airport,GEL
Governador Aluízio Alves International Airport,NAT
Oiapoque Airport,\N
Salgado Filho Airport,POA
Prefeito Doutor João Silva Filho Airport,\N
Poços de Caldas - Embaixador Walther Moreira Salles Airport,POO
Lauro Kurtz Airport,PFB
João Simões Lopes Neto International Airport,PET
Senador Nilo Coelho Airport,PNZ
Porto Nacional Airport,PNB
Ponta Porã Airport,PMG
Governador Jorge Teixeira de Oliveira Airport,PVH
Plácido de Castro Airport,RBR
Guararapes - Gilberto Freyre International Airport,REC
Santos Dumont Airport,SDU
Leite Lopes Airport,RAO
Santa Cruz Airport,STU
Professor Urbano Ernesto Stumpf Airport,SJK
Marechal Cunha Machado International Airport,SLZ
Congonhas Airport,CGH
Prof. Eribelto Manoel Reino State Airport,SJP
Base Aérea de Santos Airport,SSZ
Deputado Luiz Eduardo Magalhães International Airport,SSA
Trombetas Airport,TMT
Senador Petrônio Portela Airport,THE
Tefé Airport,TFF
Tarauacá Airport,\N
Telêmaco Borba Airport,\N
Tiriós Airport,\N
Tabatinga Airport,TBT
Tucuruí Airport,TUR
São Gabriel da Cachoeira Airport,SJL
Paulo Afonso Airport,PAV
Rubem Berta Airport,URG
Ten. Cel. Aviador César Bombonato Airport,UDI
Mário de Almeida Franco Airport,UBA
Major Brigadeiro Trompowsky Airport,VAG
Brigadeiro Camarão Airport,BVH
Eurico de Aguiar Salles Airport,VIX
Iauaretê Airport,\N
Campo Fontenelle Airport,QPS
Chacalluta Airport,ARI
Balmaceda Airport,BBA
El Bosque Airport,\N
Chile Chico Airport,CCH
El Loa Airport,CJC
Gral. Bernardo O´Higgins Airport,\N
Pdte. carlos Ibañez del Campo Airport,PUQ
Teniente Vidal Airport,GXQ
Diego Aracena Airport,IQQ
Comodoro Arturo Merino Benítez International Airport,SCL
Cerro Moreno Airport,ANF
Capitan Fuentes Martinez Airport Airport,WPR
Futaleufú Airport,\N
María Dolores Airport,LSQ
Guardiamarina Zañartu Airport,WPU
Carriel Sur Airport,CCP
Mataveri Airport,IPC
Cañal Bajo Carlos - Hott Siebert Airport,ZOS
Vallenar Airport,\N
De La Independencia Airport,\N
Teniente Rodolfo Marsh Martin Base,\N
La Florida Airport,LSC
Eulogio Sánchez Airport,\N
Maquehue Airport,ZCO
El Tepual Airport,PMC
Chaitén Airport,WCH
Pichoy Airport,ZAL
Chachoán Airport,ATF
Hacienda Clementina Airport,\N
Francisco De Orellana Airport,OCC
Mariscal Lamar Airport,CUE
Seymour Airport,GPS
José Joaquín de Olmedo International Airport,GYE
Gualaquiza Airport,\N
Atahualpa Airport,\N
Km 192 Airport,\N
Hacienda La Julia Airport,\N
Cotopaxi International Airport,LTX
Jose Maria Velasco Ibarra Airport,\N
Coronel E Carvajal Airport,XMS
General Manuel Serrano Airport,MCH
El Carmen Airport,\N
Eloy Alfaro International Airport,MEC
Maragrosa Airport,\N
Amable Calle Gutierrez Airport,\N
Reales Tamarindos Airport,PVO
Quevedo Airport,\N
Mariscal Sucre International Airport,UIO
Chimborazo Airport,\N
Santa Rosa International Airport,ETR
General Ulpiano Paez Airport,SNC
Santo Domingo de Los Colorados Airport,\N
Taura Airport,\N
Mayor Galo Torres Airport,\N
Tarapoa Airport,TPC
Teniente Coronel Luis a Mantilla Airport,TUA
Silvio Pettirossi International Airport,ASU
Juan De Ayolas Airport,\N
Teniente Col Carmelo Peralta Airport,CIO
Itaipú Airport,\N
Dr. Luis Maria Argaña International Airport,\N
Carlos Miguel Gimenez Airport,\N
El Eden Airport,AXM
Tres De Mayo Airport,PUU
Las Flores Airport,\N
Palonegro Airport,BGA
El Dorado International Airport,BOG
Ernesto Cortissoz International Airport,BAQ
José Celestino Mutis Airport,BSC
Gerardo Tobar López Airport,BUN
Camilo Daza International Airport,CUC
Rafael Nuñez International Airport,CTG
Alfonso Bonilla Aragon International Airport,CLO
La Florida Airport,TCO
Las Brujas Airport,CZU
Yariguíes Airport,EJA
Gustavo Artunduaga Paredes Airport,FLA
Santiago Vila Airport,\N
Juan Casiano Airport,GPI
Guaymaral Airport,\N
Perales Airport,IBE
San Luis Airport,IPI
Antonio Roldan Betancourt Airport,APO
Jorge Isaac Airport,\N
Alfredo Vásquez Cobo International Airport,LET
Enrique Olaya Herrera Airport,EOH
Baracoa Airport,MGN
Los Garzones Airport,MTR
Fabio Alberto Leon Bentley Airport,MVP
La Nubia Airport,MZL
Benito Salas Airport,NVA
Aguas Claras Airport,OCV
Otu Airport,OTU
Puerto Bolívar Airport,\N
German Olano Airport,PCR
Matecaña International Airport,PEI
Pitalito Airport,\N
Guillermo León Valencia Airport,PPN
Antonio Narino Airport,PSO
El Embrujo Airport,PVA
Mariquita Airport,\N
Jose Maria Córdova International Airport,MDE
Almirante Padilla Airport,RCH
Jorge E. Gonzalez Torres Airport,SJE
Simón Bolívar International Airport,SMR
Gustavo Rojas Pinilla International Airport,ADZ
Eduardo Falla Solano Airport,SVI
Gustavo Vargas Airport,TME
Santiago Perez Airport,AUC
El Caraño Airport,UIB
Heriberto Gíl Martínez Airport,ULQ
Alfonso López Pumarejo Airport,VUP
Vanguardia Airport,VVC
Bermejo Airport,BJO
Jorge Wilsterman International Airport,CBB
Chimore Airport,\N
Capitán Aníbal Arab Airport,CIJ
El Alto International Airport,LPB
Juan Mendoza Airport,\N
Capitan Nicolas Rojas Airport,POI
Capitán Av. Salvador Ogaya G. airport,PSZ
Santa Ana Del Yacuma Airport,\N
Juana Azurduy De Padilla Airport,SRE
Capitan Oriel Lea Plaza Airport,TJA
Teniente Av. Jorge Henrich Arauz Airport,TDD
Teniente Coronel Rafael Pabón Airport,\N
Viru Viru International Airport,VVI
Yacuiba Airport,BYC
Johan Adolf Pengel International Airport,PBM
Cayenne-Rochambeau Airport,CAY
Saint-Georges-de-l'Oyapock Airport,\N
Huancabamba Airport,\N
Alferez FAP Alfredo Vladimir Sara Bauer Airport,\N
Teniente General Gerardo Pérez Pinedo Airport,\N
Iberia Airport,\N
Cap FAP David Abenzur Rengifo International Airport,PCL
Teniente FAP Jaime A De Montreuil Morales Airport,CHM
Puerto Esperanza Airport,\N
Cesar Torke Podesta Airport,\N
Capitan FAP Jose A Quinones Gonzales International Airport,CIX
Coronel FAP Alfredo Mendivil Duarte Airport,AYP
Andahuaylas Airport,ANS
Comandante FAP German Arias Graziani Airport,ATA
Jorge Chávez International Airport,LIM
Juanjui Airport,JJI
Francisco Carle Airport,\N
Inca Manco Capac International Airport,JUL
Ilo Airport,\N
Las Palmas Air Base,\N
Capitan FAP Pedro Canga Rodriguez Airport,TBP
Moises Benzaquen Rengifo Airport,YMS
Collique Airport,\N
Chachapoyas Airport,CHH
Coronel FAP Francisco Secada Vignetta International Airport,IQT
Rodríguez Ballón International Airport,AQP
Capitán FAP Leonardo Alvariño Herr Airport,\N
